,acc,loss,round,client,type
0,0.8738095238095238,1.7130323648452759,0,Client_0,local
1,0.8380952380952381,2.287790536880493,0,Client_0,global
2,0.8523809523809524,1.7468552589416504,0,Client_5,local
3,0.8142857142857143,2.2889187335968018,0,Client_5,global
4,0.8476190476190476,1.7276859283447266,0,Client_8,local
5,0.8238095238095238,2.288309097290039,0,Client_8,global
6,0.8571428571428571,1.711711049079895,1,Client_0,local
7,0.8428571428571429,2.2878592014312744,1,Client_0,global
8,0.85,1.7180761098861694,1,Client_6,local
9,0.861904761904762,2.288050413131714,1,Client_6,global
10,0.8333333333333334,1.7306655645370483,1,Client_8,local
11,0.830952380952381,2.288402557373047,1,Client_8,global
