,acc,loss,round,client,type
0,0.9011904761904762,1.623030185699463,3,client_0,local
1,0.888095238095238,1.6908438205718994,3,client_0,global
2,0.8714285714285714,1.6849344968795776,3,client_1,local
3,0.8678571428571429,1.709308385848999,3,client_1,global
4,0.875,1.7036645412445068,3,client_2,local
5,0.8797619047619047,1.6940107345581055,3,client_2,global
6,0.8630952380952381,1.7324206829071045,3,client_3,local
7,0.8857142857142857,1.6872990131378174,3,client_3,global
8,0.8523809523809524,1.7924528121948242,3,client_4,local
9,0.875,1.7060989141464233,3,client_4,global
10,0.844047619047619,1.816545009613037,3,client_0,local
11,0.8345238095238096,1.8952276706695557,3,client_0,global
12,0.8107142857142857,1.8697422742843628,3,client_1,local
13,0.805952380952381,1.9051083326339722,3,client_1,global
14,0.8214285714285714,1.9040794372558594,3,client_2,local
15,0.8321428571428572,1.9011077880859375,3,client_2,global
16,0.819047619047619,1.9366295337677002,3,client_3,local
17,0.8285714285714286,1.8916887044906616,3,client_3,global
18,0.7916666666666666,1.990276575088501,3,client_4,local
19,0.8119047619047619,1.9087231159210205,3,client_4,global
20,0.7785714285714286,2.0045692920684814,3,client_0,local
21,0.7690476190476191,2.065206527709961,3,client_0,global
22,0.7726190476190476,2.0412354469299316,3,client_1,local
23,0.763095238095238,2.069761037826538,3,client_1,global
24,0.7547619047619047,2.071734666824341,3,client_2,local
25,0.7702380952380953,2.0714027881622314,3,client_2,global
26,0.7678571428571429,2.095362663269043,3,client_3,local
27,0.7738095238095238,2.066128730773926,3,client_3,global
28,0.7488095238095238,2.128192663192749,3,client_4,local
29,0.7666666666666667,2.0744903087615967,3,client_4,global
